accuracy,balanced_accuracy,log_loss,loss,mb_injection,mb_mean_score,mb_score_source,mb_sparsity,roc_auc,step,train_mode
0.9873046875,0.9873027317151326,0.03680965591250254,0.0360107421875,cls_soft_bias,0.25,oracle,0.25,0.9992713900428392,0,baseline
0.9560546875,0.9557368035190617,0.09748624970010841,0.0968017578125,cls_soft_bias,0.25,oracle,0.25,0.994465191226784,1,baseline
0.970703125,0.970412213740458,0.07259193531343999,0.07183837890625,cls_soft_bias,0.25,oracle,0.25,0.996925572519084,2,baseline
0.9814453125,0.9811218862466272,0.052265817568631745,0.051513671875,cls_soft_bias,0.25,oracle,0.25,0.9985153975032726,3,baseline
0.9833984375,0.9835954198473282,0.038446517730971984,0.0377197265625,cls_soft_bias,0.25,oracle,0.25,0.9993053435114504,4,baseline
0.9755859375,0.9757438686897605,0.06032669029926553,0.059539794921875,cls_soft_bias,0.25,oracle,0.25,0.9980895123580494,5,baseline
0.982421875,0.9824657869012707,0.04657602996334241,0.0458984375,cls_soft_bias,0.25,oracle,0.25,0.9989155669599219,6,baseline
0.98046875,0.9803745021136325,0.038919625142589245,0.038116455078125,cls_soft_bias,0.25,oracle,0.25,0.9991148686800861,7,baseline
0.9501953125,0.9501313237741842,0.11666652266877894,0.11590576171875,cls_soft_bias,0.25,oracle,0.25,0.9936609556095103,8,baseline
0.9736328125,0.973735211869418,0.04569307509875353,0.044921875,cls_soft_bias,0.25,oracle,0.25,0.9989012624037175,9,baseline
0.9755859375,0.9757015585951658,0.06428259566129374,0.0634765625,cls_soft_bias,0.25,oracle,0.25,0.997735553902211,10,baseline
0.9853515625,0.9853572286881587,0.035998064035222474,0.03521728515625,cls_soft_bias,0.25,oracle,0.25,0.9992694826869304,11,baseline
0.9580078125,0.9580057449559973,0.08301889805639984,0.082275390625,cls_soft_bias,0.25,oracle,0.25,0.9961948249619481,12,baseline
0.9775390625,0.9776389885085537,0.05262387828766374,0.051910400390625,cls_soft_bias,0.25,oracle,0.25,0.9987219008958139,13,baseline
0.9638671875,0.9639679358717435,0.07600523336591133,0.07525634765625,cls_soft_bias,0.25,oracle,0.25,0.9965702834239909,14,baseline
0.9384765625,0.9385683760683761,0.1347930685153104,0.1341552734375,cls_soft_bias,0.25,oracle,0.25,0.9897130647130647,15,baseline
0.970703125,0.9711933842142036,0.06948118209727097,0.0687255859375,cls_soft_bias,0.25,oracle,0.25,0.997789392903913,16,baseline
0.9482421875,0.9482923069879592,0.1092896439150052,0.10894775390625,cls_soft_bias,0.25,oracle,0.25,0.9933844064278847,17,baseline
0.9873046875,0.9875694245634126,0.031505765313945354,0.0307464599609375,cls_soft_bias,0.25,oracle,0.25,0.9996507300314915,18,baseline
0.9736328125,0.9736418342154367,0.054952452264431094,0.05413818359375,cls_soft_bias,0.25,oracle,0.25,0.9983400937942404,19,baseline
0.9580078125,0.9579160305343511,0.08780899426200031,0.087158203125,cls_soft_bias,0.25,oracle,0.25,0.9953396946564885,20,baseline
0.978515625,0.9785229266803998,0.040477545570915166,0.039703369140625,cls_soft_bias,0.25,oracle,0.25,0.9990653849088272,21,baseline
0.97265625,0.97265625,0.06342851275781508,0.06280517578125,cls_soft_bias,0.25,oracle,0.25,0.9979667663574219,22,baseline
0.9658203125,0.9657495574681072,0.07669648022168504,0.07598876953125,cls_soft_bias,0.25,oracle,0.25,0.9964769120429714,23,baseline
0.9658203125,0.9660098145920453,0.06929939407314142,0.06854248046875,cls_soft_bias,0.25,oracle,0.25,0.9971950125069218,24,baseline
0.9755859375,0.9755359207077701,0.057491164917842466,0.056732177734375,cls_soft_bias,0.25,oracle,0.25,0.9980772092065054,25,baseline
0.9736328125,0.9736260796453413,0.06371779357760154,0.06298828125,cls_soft_bias,0.25,oracle,0.25,0.997825422303753,26,baseline
0.978515625,0.9785263318519084,0.05950472840308112,0.05877685546875,cls_soft_bias,0.25,oracle,0.25,0.997972418791844,27,baseline
0.9658203125,0.9656309714897195,0.10306308585513826,0.10223388671875,cls_soft_bias,0.25,oracle,0.25,0.9964553237025147,28,baseline
0.9794921875,0.9794902019126965,0.046772661346759885,0.0460205078125,cls_soft_bias,0.25,oracle,0.25,0.9986686655756591,29,baseline
