accuracy,balanced_accuracy,log_loss,loss,mb_injection,mb_mean_score,mb_score_source,mb_sparsity,roc_auc,step,train_mode
0.9609375,0.9611721611721611,0.08885919211962125,0.088623046875,none,0.0,none,0.0,0.9952991452991453,0,baseline
0.9140625,0.9140152671755726,0.18492532519976468,0.184814453125,none,0.0,none,0.0,0.9792977099236642,1,baseline
0.9765625,0.9773492500765228,0.08305193365148604,0.082763671875,none,0.0,none,0.0,0.9968166513621058,2,baseline
0.9375,0.9367932025184913,0.1467170901153854,0.1466064453125,none,0.0,none,0.0,0.988141084418363,3,baseline
0.9453125,0.9452289259734703,0.11985528310149147,0.119384765625,none,0.0,none,0.0,0.9924200745766856,4,baseline
0.90625,0.9093588798820929,0.1853965926541018,0.185302734375,none,0.0,none,0.0,0.9802566936870548,5,baseline
0.9453125,0.9456143563449917,0.12706313286273224,0.1268310546875,none,0.0,none,0.0,0.9918818287248977,6,baseline
0.98046875,0.9804370383934566,0.05310267722465956,0.052703857421875,none,0.0,none,0.0,0.9986571446011109,7,baseline
0.921875,0.9220612506876948,0.1675135317073488,0.1673583984375,none,0.0,none,0.0,0.9828534751512928,8,baseline
0.95703125,0.9574656488549618,0.11641913760781754,0.11614990234375,none,0.0,none,0.0,0.9923053435114504,9,baseline
0.91796875,0.918010752688172,0.15861106656982543,0.158447265625,none,0.0,none,0.0,0.9856121700879765,10,baseline
0.984375,0.9842490842490843,0.06064415684912276,0.060211181640625,none,0.0,none,0.0,0.9981074481074481,11,baseline
0.94921875,0.94921875,0.12865319565,0.128173828125,none,0.0,none,0.0,0.99169921875,12,baseline
0.9375,0.9372549019607843,0.1600093686861236,0.1597900390625,none,0.0,none,0.0,0.9852328431372549,13,baseline
0.9140625,0.9138047138047138,0.19082311143910796,0.190673828125,none,0.0,none,0.0,0.9775941230486684,14,baseline
0.95703125,0.9580889540566959,0.1068889038495423,0.106689453125,none,0.0,none,0.0,0.9963954056695992,15,baseline
0.96484375,0.9649315738025416,0.1418017891334467,0.1416015625,none,0.0,none,0.0,0.9891251221896383,16,baseline
0.97265625,0.9716923265656627,0.08718180457830205,0.086669921875,none,0.0,none,0.0,0.9956449733177943,17,baseline
0.9453125,0.9449328449328449,0.12839450553370313,0.1279296875,none,0.0,none,0.0,0.9928571428571429,18,baseline
0.9609375,0.9612184976755567,0.10203994856082645,0.101806640625,none,0.0,none,0.0,0.9940971372644971,19,baseline
0.9453125,0.9452481230543857,0.14104676025863938,0.140869140625,none,0.0,none,0.0,0.9871818348287859,20,baseline
0.96875,0.9683664122137404,0.0728674757671059,0.072509765625,none,0.0,none,0.0,0.9979236641221374,21,baseline
0.9375,0.9383877513373916,0.17657296263499117,0.1763916015625,none,0.0,none,0.0,0.9821681116645146,22,baseline
0.89453125,0.8945553317463224,0.2101363794739688,0.2100830078125,none,0.0,none,0.0,0.9752792528840871,23,baseline
0.9375,0.9361819182101596,0.12136445463502184,0.12103271484375,none,0.0,none,0.0,0.9920838682071031,24,baseline
0.9609375,0.9610992366412214,0.0985251030517841,0.09808349609375,none,0.0,none,0.0,0.9945648854961832,25,baseline
0.96875,0.9680909591050797,0.0862647125497148,0.08575439453125,none,0.0,none,0.0,0.995598752980011,26,baseline
0.95703125,0.9575702075702076,0.10864480892869091,0.10809326171875,none,0.0,none,0.0,0.9974358974358973,27,baseline
0.94921875,0.9492673992673992,0.10546539085594403,0.1051025390625,none,0.0,none,0.0,0.9934065934065934,28,baseline
0.9296875,0.9310007340347444,0.17306337165510388,0.1728515625,none,0.0,none,0.0,0.9830560313188158,29,baseline
