accuracy,balanced_accuracy,log_loss,loss,mb_injection,mb_mean_score,mb_score_source,mb_sparsity,roc_auc,step,train_mode
0.9375,0.9376068376068376,0.14134987783562325,0.1409912109375,cls_soft_bias,0.25,shuffled,0.25,0.9882173382173383,0,baseline
0.8828125,0.8829312977099237,0.2534702047140084,0.25341796875,cls_soft_bias,0.25,shuffled,0.25,0.9605801526717557,1,baseline
0.9375,0.936455463728191,0.15734406934719983,0.156982421875,cls_soft_bias,0.25,shuffled,0.25,0.985307621671258,2,baseline
0.8984375,0.896754080322758,0.267198989819898,0.26708984375,cls_soft_bias,0.25,shuffled,0.25,0.9589522586955193,3,baseline
0.953125,0.953970291582615,0.0926822736174401,0.09210205078125,cls_soft_bias,0.25,shuffled,0.25,0.9955376245491778,4,baseline
0.89453125,0.8966470154753132,0.2507162119075905,0.25048828125,cls_soft_bias,0.25,shuffled,0.25,0.9663780397936625,5,baseline
0.87109375,0.8716657510834401,0.2824757708270637,0.2822265625,cls_soft_bias,0.25,shuffled,0.25,0.9678019898675455,6,baseline
0.9453125,0.9454312396996887,0.09238410252293347,0.09185791015625,cls_soft_bias,0.25,shuffled,0.25,0.9958493560397973,7,baseline
0.84375,0.8413717219878966,0.34661946199528376,0.3466796875,cls_soft_bias,0.25,shuffled,0.25,0.9242618741976893,8,baseline
0.96484375,0.9649160305343512,0.08993424692670116,0.089599609375,cls_soft_bias,0.25,shuffled,0.25,0.9959389312977099,9,baseline
0.91015625,0.9111681329423265,0.19585400307402118,0.195556640625,cls_soft_bias,0.25,shuffled,0.25,0.980327468230694,10,baseline
0.97265625,0.9724664224664226,0.06211401240376516,0.061553955078125,cls_soft_bias,0.25,shuffled,0.25,0.9978632478632479,11,baseline
0.90625,0.90625,0.19587156717856535,0.19580078125,cls_soft_bias,0.25,shuffled,0.25,0.975250244140625,12,baseline
0.890625,0.8906862745098039,0.23322945454844748,0.23291015625,cls_soft_bias,0.25,shuffled,0.25,0.9699142156862746,13,baseline
0.87109375,0.8734925007652281,0.2820226455571556,0.281982421875,cls_soft_bias,0.25,shuffled,0.25,0.9528619528619529,14,baseline
0.93359375,0.9341397849462365,0.1716588249634831,0.1712646484375,cls_soft_bias,0.25,shuffled,0.25,0.9877810361681331,15,baseline
0.92578125,0.9253421309872922,0.1288304823114605,0.1285400390625,cls_soft_bias,0.25,shuffled,0.25,0.990530303030303,16,baseline
0.91796875,0.917837207875851,0.15368502018277852,0.1533203125,cls_soft_bias,0.25,shuffled,0.25,0.9854627982579893,17,baseline
0.953125,0.9528693528693528,0.14331551921916313,0.1429443359375,cls_soft_bias,0.25,shuffled,0.25,0.9891330891330891,18,baseline
0.9375,0.9366283337411304,0.18034800639078946,0.1800537109375,cls_soft_bias,0.25,shuffled,0.25,0.9805786640567653,19,baseline
0.89453125,0.8947384483916254,0.2334588997897447,0.2333984375,cls_soft_bias,0.25,shuffled,0.25,0.9674052371360556,20,baseline
0.9765625,0.976,0.07949630117362891,0.07891845703125,cls_soft_bias,0.25,shuffled,0.25,0.9974045801526717,21,baseline
0.91796875,0.9170202299698702,0.2124193866609278,0.212158203125,cls_soft_bias,0.25,shuffled,0.25,0.974973867060198,22,baseline
0.89453125,0.8947384483916254,0.22547304613088884,0.225341796875,cls_soft_bias,0.25,shuffled,0.25,0.9697857535249954,23,baseline
0.91015625,0.9083379179656459,0.22296969353688956,0.2227783203125,cls_soft_bias,0.25,shuffled,0.25,0.9735619536646494,24,baseline
0.94921875,0.9494656488549618,0.10880049799092877,0.1083984375,cls_soft_bias,0.25,shuffled,0.25,0.9927328244274809,25,baseline
0.7421875,0.7427104346231432,0.5100815266599015,0.51025390625,cls_soft_bias,0.25,shuffled,0.25,0.8303074760070908,26,baseline
0.94921875,0.95,0.12354389267709483,0.12298583984375,cls_soft_bias,0.25,shuffled,0.25,0.994932844932845,27,baseline
0.90234375,0.9028693528693529,0.2365959788581981,0.2362060546875,cls_soft_bias,0.25,shuffled,0.25,0.9728021978021978,28,baseline
0.890625,0.892219231710301,0.2420375570372062,0.24169921875,cls_soft_bias,0.25,shuffled,0.25,0.9678248103743577,29,baseline
