accuracy,balanced_accuracy,log_loss,loss,mb_injection,mb_mean_score,mb_score_source,mb_sparsity,roc_auc,step,train_mode
0.982421875,0.9822303921568627,0.04043183874247241,0.0396728515625,cls_soft_bias,0.183192640542984,corr,0.046875,0.9990196078431371,0,baseline
0.955078125,0.9547802432911547,0.10270512435358403,0.10205078125,cls_soft_bias,0.1662687361240387,corr,0.015625,0.9946436212482425,1,baseline
0.974609375,0.9754088310573666,0.0630392641333246,0.062408447265625,cls_soft_bias,0.1998196244239807,corr,0.09375,0.9982987723573499,2,baseline
0.939453125,0.939247484233512,0.14602690506861143,0.1455078125,cls_soft_bias,0.22228489816188812,corr,0.125,0.9887000473376395,3,baseline
0.935546875,0.9357413172190685,0.15336179497499813,0.15283203125,cls_soft_bias,0.2029610574245453,corr,0.125,0.9863425502044803,4,baseline
0.974609375,0.9742673992673992,0.0867139456042377,0.0859375,cls_soft_bias,0.20976552367210388,corr,0.0625,0.9981456043956044,5,baseline
0.970703125,0.970323122756092,0.07989103167670356,0.0792236328125,cls_soft_bias,0.23443160951137543,corr,0.09375,0.9963791918111681,6,baseline
0.94921875,0.949732816830243,0.11561029356219735,0.11492919921875,cls_soft_bias,0.22815224528312683,corr,0.15625,0.9932476918130178,7,baseline
0.982421875,0.9827828423962007,0.05275817607344768,0.0533447265625,cls_soft_bias,0.3362572193145752,corr,0.25,0.9989616259715669,8,baseline
0.962890625,0.963672330245967,0.09040039435862253,0.0897216796875,cls_soft_bias,0.15472981333732605,corr,0.015625,0.9958673250322025,9,baseline
0.93359375,0.9332233878479699,0.16709837203703687,0.1748046875,cls_soft_bias,0.177601158618927,corr,0.015625,0.9856307358712415,10,baseline
0.912109375,0.9120970574312459,0.18806051246936833,0.1907958984375,cls_soft_bias,0.17357297241687775,corr,0.015625,0.9787515079328721,11,baseline
0.953125,0.953648854961832,0.12470546790827629,0.1240234375,cls_soft_bias,0.28881484270095825,corr,0.25,0.993763358778626,12,baseline
0.94140625,0.9413308913308913,0.1606056983619919,0.1610107421875,cls_soft_bias,0.20004640519618988,corr,0.078125,0.9880418192918193,13,baseline
0.95703125,0.957091175527774,0.08662358761361583,0.0859375,cls_soft_bias,0.214991956949234,corr,0.109375,0.9959243485826808,14,baseline
0.982421875,0.9826759509520974,0.05794396200053176,0.05712890625,cls_soft_bias,0.22221076488494873,corr,0.078125,0.998900545146365,15,baseline
0.947265625,0.9471529814271751,0.10969041016669263,0.10906982421875,cls_soft_bias,0.1660245656967163,corr,0.125,0.9939516129032259,16,baseline
0.970703125,0.9706492713817045,0.106252379757107,0.1055908203125,cls_soft_bias,0.233133465051651,corr,0.09375,0.9949416342412452,17,baseline
0.951171875,0.9510427010923534,0.13630602522253815,0.1380615234375,cls_soft_bias,0.1691494882106781,corr,0.03125,0.9936139332365748,18,baseline
0.974609375,0.9746230849050845,0.06678925905563608,0.06597900390625,cls_soft_bias,0.3826764225959778,corr,0.359375,0.9978560092779101,19,baseline
0.96875,0.9690472918289126,0.05995422617173714,0.059295654296875,cls_soft_bias,0.31221920251846313,corr,0.265625,0.9979843327683356,20,baseline
0.955078125,0.9561839842790469,0.11530575777280294,0.1146240234375,cls_soft_bias,0.23594647645950317,corr,0.078125,0.9941046425939573,21,baseline
0.970703125,0.9704606218012375,0.08135989526399123,0.0806884765625,cls_soft_bias,0.1730697602033615,corr,0.03125,0.9963333587961195,22,baseline
0.904296875,0.904296875,0.21027683229617578,0.2098388671875,cls_soft_bias,0.19835522770881653,corr,0.046875,0.97845458984375,23,baseline
0.958984375,0.95898580866161,0.07720966638829287,0.0765380859375,cls_soft_bias,0.2906647324562073,corr,0.25,0.9965821507218008,24,baseline
0.953125,0.9547198654742797,0.09148996869580396,0.09075927734375,cls_soft_bias,0.15043425559997559,corr,0.015625,0.9976381563861499,25,baseline
0.962890625,0.9630457673935935,0.0745103831847651,0.0738525390625,cls_soft_bias,0.26527929306030273,corr,0.1875,0.9967494315320401,26,baseline
0.96875,0.9687800411993591,0.08205999893689682,0.08148193359375,cls_soft_bias,0.1750084012746811,corr,0.03125,0.9959411001754788,27,baseline
0.921875,0.9223443223443224,0.1890599714371757,0.1885986328125,cls_soft_bias,0.18809956312179565,corr,0.046875,0.982760989010989,28,baseline
0.962890625,0.9636346953755811,0.0909123045273676,0.09027099609375,cls_soft_bias,0.2457917034626007,corr,0.09375,0.99554226816736,29,baseline
